stn,wban,year,mo,da,temp,count_temp,dewp,count_dewp,slp,count_slp,stp,count_stp,visib,count_visib,wdsp,count_wdsp,mxpsd,gust,max,flag_max,min,flag_min,prcp,flag_prcp,sndp,fog,rain_drizzle,snow_ice_pellets,hail,thunder,tornado_funnel_cloud
724500,03928,2016,01,01,29.7,24,19.4,24,1033.5,24,983.2,24,10.0,24,5.8,24,8.9,999.9,43.0,,19.0,,0.0,G,999.9,0,0,0,0,0,0
724500,03928,2016,01,02,30.9,24,20.9,24,1028.1,24,978.1,24,10.0,24,4.6,24,8.0,999.9,46.9,,19.0,,0.0,G,999.9,0,0,0,0,0,0
724500,03928,2016,01,03,33.0,24,22.7,24,1025.8,24,976.3,24,10.0,24,7.1,24,13.0,999.9,46.9,,21.9,,0.0,G,999.9,0,0,0,0,0,0
724500,03928,2016,01,04,28.5,24,22.2,24,1030.4,24,980.5,24,10.0,24,5.7,24,7.0,999.9,45.0,,21.9,,0.0,G,999.9,0,0,0,0,0,0
724500,03928,2016,01,05,27.4,24,22.2,24,1026.9,22,976.9,24,9.0,24,9.6,24,20.0,24.1,39.9,,18.0,,0.0,G,999.9,0,0,0,0,0,0
724500,03928,2016,01,06,36.2,24,32.4,24,1018.6,20,968.9,24,8.2,24,12.5,24,17.1,22.9,39.9,*,34.0,*,0.01,G,999.9,0,1,1,0,0,0
724500,03928,2016,01,07,41.9,24,41.6,24,1011.5,15,961.2,24,1.8,24,9.1,24,15.0,25.1,45.0,,34.0,,0.06,G,999.9,1,1,0,0,0,0
724500,03928,2016,01,08,39.4,24,36.7,24,1009.0,20,960.3,24,8.8,24,9.6,24,18.1,24.1,45.0,,36.0,,0.11,G,999.9,0,1,0,0,0,0
724500,03928,2016,01,09,30.7,24,21.9,24,1017.1,23,968.2,24,10.0,24,16.5,24,22.9,29.9,42.1,,21.9,,0.0,G,999.9,0,0,1,0,0,0
724500,03928,2016,01,10,16.4,24,5.6,24,1026.9,23,976.1,24,10.0,24,10.1,24,18.1,26.0,33.1,,7.0,,0.0,G,999.9,0,0,0,0,0,0
724500,03928,2016,01,11,29.0,24,19.6,24,1020.6,24,970.6,24,9.4,24,7.8,24,9.9,999.9,50.0,,8.1,,0.0,G,999.9,0,0,0,0,0,0
724500,03928,2016,01,12,34.4,24,22.6,24,1021.5,24,972.4,24,10.0,24,6.1,24,12.0,999.9,50.0,,18.0,,0.0,G,999.9,0,0,0,0,0,0
724500,03928,2016,01,13,34.2,24,23.0,24,1020.7,24,971.0,24,10.0,24,3.9,24,8.0,999.9,55.9,,19.0,,0.0,G,999.9,0,0,0,0,0,0
724500,03928,2016,01,14,37.8,24,29.4,24,1008.2,24,959.2,24,9.4,24,8.5,24,14.0,999.9,55.9,,21.9,,0.0,G,999.9,0,0,0,0,0,0
724500,03928,2016,01,15,39.4,24,28.0,24,1005.8,24,957.9,24,10.0,24,9.6,24,17.1,22.9,55.0,,27.1,,0.0,G,999.9,0,0,0,0,0,0
724500,03928,2016,01,16,31.5,24,19.9,24,1016.6,24,967.6,24,10.0,24,6.6,24,8.9,999.9,46.0,,26.1,,0.0,G,999.9,0,0,1,0,0,0
724500,03928,2016,01,17,21.5,24,12.4,24,1022.7,23,973.0,24,9.8,24,10.7,24,20.0,25.1,39.9,,15.1,,0.0,G,999.9,0,0,1,0,0,0
724500,03928,2016,01,18,20.3,24,2.5,24,1029.9,24,979.0,24,10.0,24,7.2,24,13.0,17.1,32.0,,15.1,,0.0,G,999.9,0,0,0,0,0,0
724500,03928,2016,01,19,28.1,24,17.2,24,1022.4,21,972.4,24,8.2,24,9.9,24,14.0,999.9,32.0,,16.0,,0.0,G,999.9,0,1,0,0,0,0
724500,03928,2016,01,20,26.4,24,23.4,24,1021.4,15,972.8,24,6.6,24,6.5,24,15.0,999.9,30.9,,21.9,,0.0,G,999.9,0,1,1,0,0,0
724500,03928,2016,01,21,29.6,24,25.9,24,1020.3,22,970.9,24,5.4,24,9.4,24,18.1,27.0,34.0,,24.1,,0.01,G,999.9,0,1,0,0,0,0
724500,03928,2016,01,22,28.5,24,21.5,24,1028.0,22,978.0,24,9.6,24,13.0,24,19.0,25.1,34.0,,27.0,,0.0,I,999.9,0,0,0,0,0,0
724500,03928,2016,01,23,28.4,24,21.0,24,1025.5,24,975.1,24,8.9,24,8.9,24,17.1,999.9,41.0,,23.0,,0.0,G,999.9,0,0,0,0,0,0
724500,03928,2016,01,24,37.3,24,27.4,24,1011.6,24,962.3,24,10.0,24,11.1,24,21.0,28.0,57.0,,24.1,,0.0,G,999.9,0,0,0,0,0,0
724500,03928,2016,01,25,39.9,24,31.1,24,1007.0,23,958.8,24,9.5,24,13.3,24,21.0,28.0,57.0,,30.2,,0.0,G,999.9,0,0,0,0,0,0
724500,03928,2016,01,26,34.2,24,23.8,24,1024.9,24,975.5,24,10.0,24,8.4,24,17.1,999.9,48.9,,23.0,,0.0,G,999.9,0,0,0,0,0,0
724500,03928,2016,01,27,33.5,24,22.0,24,1025.3,24,975.5,24,10.0,24,4.7,24,11.1,999.9,54.0,,19.0,,0.0,G,999.9,0,0,0,0,0,0
724500,03928,2016,01,28,42.0,24,26.8,24,1018.2,24,969.3,24,10.0,24,6.6,24,12.0,999.9,61.0,,21.2,,0.0,G,999.9,0,0,0,0,0,0
724500,03928,2016,01,29,45.8,24,29.7,24,1010.6,24,962.0,24,10.0,24,7.8,24,21.0,28.9,71.1,,26.2,,0.0,G,999.9,0,0,0,0,0,0
724500,03928,2016,01,30,46.3,24,32.4,24,1004.9,24,956.8,24,10.0,24,7.6,24,15.0,999.9,71.1,,28.0,,0.0,G,999.9,0,0,0,0,0,0
724500,03928,2016,01,31,48.0,24,33.3,24,1003.0,24,956.0,24,10.0,24,11.1,24,20.0,25.1,63.0,,31.1,,0.0,G,999.9,0,0,0,0,0,0
724500,03928,2016,02,01,45.5,24,26.9,24,1012.5,24,963.9,24,10.0,24,7.0,24,19.0,25.1,57.0,,33.1,,0.0,G,999.9,0,0,0,0,0,0
724500,03928,2016,02,02,42.7,24,33.4,24,998.8,21,950.8,24,8.9,24,16.2,24,27.0,33.0,57.0,,33.1,,0.55,G,999.9,1,1,0,0,1,0
724500,03928,2016,02,03,33.8,24,20.1,24,1016.7,24,968.1,24,10.0,24,17.4,24,28.0,34.0,44.1,,27.0,,0.34,G,999.9,0,0,0,0,0,0
724500,03928,2016,02,04,30.1,24,15.0,24,1027.6,24,977.7,24,10.0,24,6.8,24,15.0,21.0,51.1,,18.0,,0.0,G,999.9,0,0,0,0,0,0
724500,03928,2016,02,05,36.9,24,19.5,24,1027.7,24,977.9,24,10.0,24,4.8,24,8.0,999.9,52.0,,19.0,,0.0,G,999.9,0,0,0,0,0,0
724500,03928,2016,02,06,37.8,24,24.9,24,1026.5,24,977.0,24,10.0,24,6.0,24,11.1,999.9,52.0,,24.1,,0.0,G,999.9,0,0,0,0,0,0
724500,03928,2016,02,07,42.0,24,24.4,24,1021.0,24,972.1,24,10.0,24,11.3,24,21.0,29.9,57.0,,27.1,,0.0,G,999.9,0,0,0,0,0,0
724500,03928,2016,02,08,39.3,24,16.4,24,1023.3,24,974.3,24,10.0,24,20.9,24,32.1,42.0,57.0,,30.2,,0.0,G,999.9,0,0,0,0,0,0
724500,03928,2016,02,09,35.3,24,17.1,24,1024.3,24,975.1,24,10.0,24,14.8,24,22.9,28.9,46.0,,28.9,,0.0,G,999.9,0,0,0,0,0,0
724500,03928,2016,02,10,37.8,24,18.9,24,1021.7,24,971.9,24,10.0,24,8.9,24,13.0,999.9,9999.9,,25.0,*,0.0,G,999.9,0,0,0,0,0,0
724500,03928,2016,02,11,42.3,24,26.3,24,1019.7,24,971.2,24,10.0,24,7.3,24,13.0,999.9,71.1,,24.3,,0.0,G,999.9,0,0,0,0,0,0
724500,03928,2016,02,12,36.0,24,26.0,24,1026.6,24,977.4,24,9.4,24,7.9,24,17.1,22.0,48.9,,27.0,,0.0,G,999.9,0,0,0,0,0,0
724500,03928,2016,02,13,32.7,24,12.7,24,1031.5,24,981.1,24,10.0,24,11.4,24,15.9,22.0,46.0,,23.0,,0.0,G,999.9,0,0,0,0,0,0
724500,03928,2016,02,14,38.2,24,16.1,24,1016.5,24,967.4,24,10.0,24,7.0,24,14.0,999.9,55.0,,24.1,,0.0,G,999.9,0,0,0,0,0,0
724500,03928,2016,02,15,47.8,24,29.7,24,1012.1,24,963.6,24,10.0,24,8.0,24,15.9,17.1,62.1,,27.1,,0.0,G,999.9,0,0,0,0,0,0
724500,03928,2016,02,16,49.9,24,30.1,24,1011.3,24,963.7,24,10.0,24,12.9,24,28.0,36.9,62.1,,37.9,,0.0,G,999.9,0,1,0,0,0,0
724500,03928,2016,02,17,44.7,24,27.7,24,1019.2,24,970.5,24,10.0,24,7.0,24,15.9,22.9,70.0,,28.9,,0.0,G,999.9,0,0,0,0,0,0
724500,03928,2016,02,18,59.1,24,35.3,24,1011.7,24,963.5,24,10.0,24,17.1,24,27.0,39.0,77.0,*,48.9,*,0.0,G,999.9,0,0,0,0,0,0
724500,03928,2016,02,19,65.9,24,31.7,24,1009.8,24,963.2,24,10.0,24,13.8,24,25.1,31.1,77.0,,48.0,,0.0,G,999.9,0,0,0,0,0,0
724500,03928,2016,02,20,56.5,24,34.7,24,1013.1,24,965.3,24,9.8,24,6.4,24,14.0,999.9,75.0,,44.1,,0.0,G,999.9,0,0,0,0,0,0
724500,03928,2016,02,21,53.3,24,35.5,24,1018.4,24,970.6,24,10.0,24,10.9,24,19.0,26.0,75.0,,37.0,,0.0,G,999.9,0,0,0,0,0,0
724500,03928,2016,02,22,44.8,24,27.3,24,1020.4,24,971.4,24,10.0,24,4.8,24,8.9,999.9,62.1,,28.9,,0.0,G,999.9,0,0,0,0,0,0
724500,03928,2016,02,23,45.0,24,28.7,24,1014.9,24,966.5,24,10.0,24,9.1,24,19.0,25.1,59.0,,31.1,,0.0,G,999.9,0,0,0,0,0,0
724500,03928,2016,02,24,42.4,24,21.2,24,1017.0,24,968.3,24,10.0,24,13.7,24,19.0,26.0,57.0,,28.9,,0.0,G,999.9,0,0,0,0,0,0
724500,03928,2016,02,25,40.2,24,19.3,24,1024.7,24,975.9,24,10.0,24,14.1,24,22.0,28.9,57.0,,30.0,,0.0,G,999.9,0,0,0,0,0,0
724500,03928,2016,02,26,37.1,24,17.9,24,1027.5,24,977.6,24,10.0,24,8.5,24,21.0,24.1,64.9,,19.0,,0.0,G,999.9,0,0,0,0,0,0
724500,03928,2016,02,27,47.9,24,22.5,24,1018.7,24,969.8,24,10.0,24,8.0,24,22.0,28.9,75.0,,20.1,,0.0,G,999.9,0,0,0,0,0,0
724500,03928,2016,02,28,59.4,24,34.7,24,1008.8,24,960.9,21,10.0,24,16.3,24,24.1,34.0,69.1,*,45.0,*,0.0,G,999.9,0,0,0,0,0,0
724500,03928,2016,02,29,50.4,24,28.5,24,1015.5,24,967.1,24,10.0,24,9.9,24,22.0,28.0,73.0,,30.9,,0.0,G,999.9,0,0,0,0,0,0
724500,03928,2016,03,01,47.7,24,25.5,24,1016.2,24,968.5,24,10.0,24,12.7,24,26.0,35.0,73.0,,33.1,,0.0,G,999.9,0,0,0,0,0,0
724500,03928,2016,03,02,45.6,24,24.4,24,1016.8,24,967.8,24,10.0,24,12.1,24,27.0,36.9,68.0,,30.0,,0.0,G,999.9,0,0,0,0,0,0
724500,03928,2016,03,03,52.2,24,30.7,24,1013.0,24,965.5,24,10.0,24,12.5,24,22.9,31.1,68.0,,30.2,,0.0,G,999.9,0,0,0,0,0,0
724500,03928,2016,03,04,50.7,24,29.0,24,1018.3,24,969.8,24,10.0,24,9.9,24,25.1,29.9,73.0,,32.0,,0.0,G,999.9,0,0,0,0,0,0
724500,03928,2016,03,05,54.2,24,26.0,24,1020.8,24,972.6,24,10.0,24,6.0,24,12.0,999.9,73.0,,30.0,,0.0,G,999.9,0,0,0,0,0,0
724500,03928,2016,03,06,60.3,24,31.8,24,1014.1,24,965.9,24,10.0,24,16.7,24,28.9,42.0,73.0,*,50.0,*,0.0,G,999.9,0,0,0,0,0,0
724500,03928,2016,03,07,66.4,24,53.2,24,1002.9,22,956.0,24,10.0,24,21.7,24,28.9,36.9,73.9,,50.0,,0.0,G,999.9,0,0,0,0,0,0
724500,03928,2016,03,08,60.2,24,54.0,24,1005.3,21,958.5,24,9.7,24,13.6,24,22.0,28.0,73.0,,53.1,,0.0,G,999.9,0,1,0,0,0,0
724500,03928,2016,03,09,52.0,24,42.3,24,1011.8,24,964.1,24,10.0,24,6.4,24,9.9,999.9,66.9,,41.0,,0.05,G,999.9,0,0,0,0,0,0
724500,03928,2016,03,10,55.7,24,37.1,24,1017.7,24,969.7,24,10.0,24,6.8,24,12.0,999.9,72.0,,39.0,,0.0,G,999.9,0,0,0,0,0,0
724500,03928,2016,03,11,56.1,24,32.5,24,1021.9,24,973.5,24,9.8,24,6.5,24,13.0,19.0,73.0,,39.0,,0.0,G,999.9,0,0,0,0,0,0
