stn,wban,year,mo,da,temp,count_temp,dewp,count_dewp,slp,count_slp,stp,count_stp,visib,count_visib,wdsp,count_wdsp,mxpsd,gust,max,flag_max,min,flag_min,prcp,flag_prcp,sndp,fog,rain_drizzle,snow_ice_pellets,hail,thunder,tornado_funnel_cloud
724500,03928,2015,02,03,32.2,24,21.6,24,1020.8,24,971.1,24,10.0,24,10.8,24,19.0,27.0,55.0,,7.0,,0.0,G,999.9,0,0,0,0,0,0
724500,03928,2015,02,04,33.2,24,25.7,24,1019.0,22,970.3,24,9.7,24,12.6,24,26.0,34.0,55.0,,19.9,,0.0,G,999.9,0,0,1,0,0,0
724500,03928,2015,02,05,20.7,24,8.4,24,1032.8,24,982.1,24,9.9,24,9.3,24,17.1,22.0,37.9,,12.0,,0.01,G,999.9,0,0,1,0,0,0
724500,03928,2015,02,06,36.6,24,23.3,24,1021.8,24,972.3,24,10.0,24,12.7,24,20.0,25.1,62.1,,12.0,,0.0,G,999.9,0,0,0,0,0,0
724500,03928,2015,02,07,46.8,24,35.8,24,1010.4,24,962.4,24,8.9,24,9.4,24,14.0,999.9,66.9,,27.0,,0.0,G,999.9,0,0,0,0,0,0
724500,03928,2015,02,08,53.0,24,36.1,24,1009.5,24,961.6,24,9.8,24,7.1,24,13.0,20.0,73.9,,30.0,,0.0,G,999.9,0,0,0,0,0,0
724500,03928,2015,02,09,46.5,24,35.2,24,1018.9,21,971.3,24,8.1,24,6.3,24,11.1,999.9,73.9,,33.1,,0.0,G,999.9,1,0,0,0,0,0
724500,03928,2015,02,10,42.0,24,32.7,24,1017.3,24,968.7,24,6.9,24,7.4,24,12.0,999.9,60.1,,30.0,,0.0,G,999.9,0,0,0,0,0,0
724500,03928,2015,02,11,41.8,24,30.7,24,1022.3,23,973.6,24,9.9,24,12.3,24,24.1,33.0,60.1,,30.0,,0.0,G,999.9,0,0,0,0,0,0
724500,03928,2015,02,12,29.3,24,13.6,24,1032.9,24,982.8,24,10.0,24,7.3,24,15.9,20.0,44.1,,21.9,,0.0,G,999.9,0,0,0,0,0,0
724500,03928,2015,02,13,34.3,24,14.5,24,1024.8,24,975.1,24,10.0,24,7.3,24,17.1,999.9,60.1,,21.9,,0.0,G,999.9,0,0,0,0,0,0
724500,03928,2015,02,14,43.7,24,28.1,24,1022.0,24,973.1,24,10.0,24,8.3,24,19.0,26.0,61.0,,21.9,,0.0,G,999.9,0,0,0,0,0,0
724500,03928,2015,02,15,25.8,24,5.5,24,1024.5,24,974.9,24,10.0,24,13.9,24,20.0,22.9,42.1,*,19.0,*,0.0,G,999.9,0,0,0,0,0,0
724500,03928,2015,02,16,23.9,24,11.5,24,1022.9,21,972.9,24,8.7,24,9.9,24,13.0,999.9,39.0,,17.1,,0.03,G,1.2,0,0,1,0,0,0
724500,03928,2015,02,17,30.5,24,21.0,24,1021.1,24,971.4,24,9.8,24,8.5,24,31.1,39.0,46.9,,17.1,,0.01,G,1.2,0,0,1,0,0,0
724500,03928,2015,02,18,24.0,24,6.6,24,1026.0,24,976.0,24,10.0,24,8.1,24,15.9,21.0,46.9,,12.0,,0.01,G,999.9,0,0,0,0,0,0
724500,03928,2015,02,19,27.5,24,5.2,24,1027.7,24,977.6,24,10.0,24,9.2,24,15.9,22.9,43.0,,12.0,,0.0,G,999.9,0,0,0,0,0,0
