stn,wban,year,mo,da,temp,count_temp,dewp,count_dewp,slp,count_slp,stp,count_stp,visib,count_visib,wdsp,count_wdsp,mxpsd,gust,max,flag_max,min,flag_min,prcp,flag_prcp,sndp,fog,rain_drizzle,snow_ice_pellets,hail,thunder,tornado_funnel_cloud
724500,03928,2017,01,01,38.3,24,25.4,24,1013.2,23,964.0,24,10.0,24,6.6,24,13.0,18.1,55.0,,27.0,,0.0,G,999.9,0,0,0,0,0,0
724500,03928,2017,01,02,49.6,24,47.8,24,1007.4,16,959.5,24,4.2,24,8.8,24,15.0,999.9,57.0,*,43.0,*,0.01,G,999.9,1,1,0,0,0,0
724500,03928,2017,01,03,34.8,24,25.1,24,1018.9,20,969.3,24,9.4,24,16.6,24,22.9,32.1,57.9,,25.0,,0.04,G,999.9,0,0,0,0,0,0
724500,03928,2017,01,04,20.9,24,5.1,24,1026.4,24,975.8,24,10.0,24,10.4,24,20.0,999.9,41.0,,12.9,,0.0,G,999.9,0,0,0,0,0,0
724500,03928,2017,01,05,19.1,24,5.6,24,1022.0,22,972.1,24,9.3,24,13.4,24,17.1,24.1,30.0,,12.9,,0.0,G,999.9,0,0,1,0,0,0
724500,03928,2017,01,06,14.6,24,0.2,24,1028.3,24,977.6,24,10.0,24,6.0,24,11.1,999.9,21.9,,10.0,,0.0,G,999.9,0,0,0,0,0,0
724500,03928,2017,01,07,16.2,24,3.6,24,1035.9,24,984.8,24,10.0,24,3.2,24,6.0,999.9,35.1,,3.9,,0.0,G,999.9,0,0,0,0,0,0
724500,03928,2017,01,08,26.4,24,11.2,24,1034.0,24,983.0,24,10.0,24,12.5,24,26.0,36.9,44.1,,3.9,,0.0,G,999.9,0,0,0,0,0,0
724500,03928,2017,01,09,32.7,24,17.6,24,1021.7,24,971.5,24,10.0,24,12.1,24,25.1,33.0,50.0,,14.0,,0.0,G,999.9,0,0,0,0,0,0
724500,03928,2017,01,10,54.0,24,33.7,24,1004.8,24,957.6,24,10.0,24,16.2,24,26.0,35.9,60.1,*,44.1,*,0.0,G,999.9,0,0,0,0,0,0
